date,trip_count,temperature_max_c,temperature_min_c,temperature_mean_c,precipitation_mm,wind_speed_max_ms,humidity_percent,data_source,month,trip_count_7day_mean,trip_count_detrended
2024-01-01,1157,7.5,-0.7,3.2,0.1,3.9,76,Open-Meteo Historical API,1,1795.5,-638.5
2024-01-02,1925,5.7,-4.5,-0.2,0.0,3.4,73,Open-Meteo Historical API,1,1822.4,102.59999999999991
2024-01-03,2036,8.3,-1.9,1.7,0.0,4.3,73,Open-Meteo Historical API,1,1716.0,320.0
2024-01-04,2064,6.8,-1.9,2.0,0.2,6.9,65,Open-Meteo Historical API,1,1619.4285714285713,444.57142857142867
2024-01-05,1930,3.0,-5.1,-1.7,0.0,6.0,60,Open-Meteo Historical API,1,1744.0,186.0
2024-01-06,1184,3.1,-4.9,-0.6,11.5,8.4,84,Open-Meteo Historical API,1,1643.4285714285713,-459.42857142857133
2024-01-07,1040,3.0,-0.5,1.7,8.4,8.0,91,Open-Meteo Historical API,1,1656.857142857143,-616.8571428571429
2024-01-08,2029,6.4,-2.4,1.7,0.0,5.0,70,Open-Meteo Historical API,1,1707.7142857142858,321.2857142857142
2024-01-09,1221,12.8,-3.9,3.8,29.4,15.9,85,Open-Meteo Historical API,1,1746.142857142857,-525.1428571428571
2024-01-10,2130,13.7,5.0,9.3,36.4,13.4,69,Open-Meteo Historical API,1,1835.857142857143,294.1428571428571
2024-01-11,2420,7.9,0.2,4.6,0.0,6.3,64,Open-Meteo Historical API,1,1879.4285714285713,540.5714285714287
2024-01-12,2199,8.5,-1.6,4.1,0.9,5.7,76,Open-Meteo Historical API,1,1773.7142857142858,425.2857142857142
2024-01-13,1812,14.3,2.0,9.3,27.5,10.0,70,Open-Meteo Historical API,1,1689.857142857143,122.14285714285711
2024-01-14,1345,6.0,-3.3,0.3,0.9,11.0,49,Open-Meteo Historical API,1,1551.2857142857142,-206.28571428571422
2024-01-15,1289,-0.8,-5.8,-3.3,0.8,3.3,49,Open-Meteo Historical API,1,1409.2857142857142,-120.28571428571422
2024-01-16,634,-0.1,-5.5,-2.4,9.9,6.9,82,Open-Meteo Historical API,1,1253.142857142857,-619.1428571428571
2024-01-17,1160,-4.0,-9.0,-6.4,0.0,6.7,52,Open-Meteo Historical API,1,1148.7142857142858,11.28571428571422
2024-01-18,1426,0.2,-6.7,-3.4,0.5,5.4,52,Open-Meteo Historical API,1,1081.0,345.0
2024-01-19,1106,-0.6,-4.4,-2.1,2.1,4.8,71,Open-Meteo Historical API,1,1141.4285714285713,-35.42857142857133
2024-01-20,1081,-3.2,-8.0,-5.9,0.0,7.1,51,Open-Meteo Historical API,1,1322.5714285714287,-241.57142857142867
2024-01-21,871,-1.1,-7.5,-4.9,0.0,6.5,51,Open-Meteo Historical API,1,1393.7142857142858,-522.7142857142858
