,date,trip_count,temperature_max_c,temperature_min_c,temperature_mean_c,precipitation_mm,wind_speed_max_ms,humidity_percent,data_source,month,trip_count_7day_mean,trip_count_detrended,bike_rides_daily,avgTemp,start_station_name,season
137,2024-05-17,3717,22.8,11.8,17.3,0.0,4.9,75,Open-Meteo Historical API,5,3089.4285714285716,627.5714285714284,3717,17.3,Michigan Ave & Oak St,Spring
103,2024-04-13,2313,12.1,7.6,9.4,1.7,10.0,65,Open-Meteo Historical API,4,2806.5714285714284,-493.5714285714285,2313,9.4,Columbus Dr & Randolph St,Spring
33,2024-02-03,2004,5.4,-3.3,1.0,0.0,6.7,57,Open-Meteo Historical API,2,2004.857142857143,-0.8571428571428896,2004,1.0,Shedd Aquarium,Winter
340,2024-12-06,2395,0.3,-1.9,-0.8,0.0,5.3,55,Open-Meteo Historical API,12,2319.8571428571427,75.14285714285734,2395,-0.8,Navy Pier,Winter
286,2024-10-13,3198,22.9,8.7,16.3,0.0,5.6,65,Open-Meteo Historical API,10,3596.714285714286,-398.7142857142858,3198,16.3,Theater on the Lake,Fall
145,2024-05-25,3135,26.6,14.2,19.8,0.0,4.6,63,Open-Meteo Historical API,5,3272.4285714285716,-137.42857142857156,3135,19.8,Michigan Ave & Oak St,Spring
359,2024-12-25,382,0.2,-4.6,-2.3,0.0,3.1,77,Open-Meteo Historical API,12,793.5714285714286,-411.57142857142856,382,-2.3,Buckingham Fountain,Winter
212,2024-07-31,3937,30.2,23.4,25.7,14.8,5.6,82,Open-Meteo Historical API,7,3621.285714285714,315.7142857142858,3937,25.7,Theater on the Lake,Summer
102,2024-04-12,2504,18.7,12.5,15.3,14.8,11.2,77,Open-Meteo Historical API,4,2831.285714285714,-327.2857142857142,2504,15.3,Columbus Dr & Randolph St,Spring
39,2024-02-09,2553,10.7,1.6,5.2,0.0,5.2,86,Open-Meteo Historical API,2,2325.4285714285716,227.57142857142844,2553,5.2,Buckingham Fountain,Winter
233,2024-08-21,3820,22.9,12.9,18.1,0.0,5.6,59,Open-Meteo Historical API,8,3651.142857142858,168.85714285714266,3820,18.1,Millennium Park,Summer
352,2024-12-18,2378,10.1,2.0,6.5,3.0,2.8,79,Open-Meteo Historical API,12,1954.142857142857,423.8571428571429,2378,6.5,Canal St & Adams St,Winter
277,2024-10-04,4300,23.1,12.2,17.3,0.1,4.6,84,Open-Meteo Historical API,10,4025.142857142858,274.85714285714266,4300,17.3,Theater on the Lake,Fall
124,2024-05-04,2951,18.3,7.3,11.8,1.2,5.7,76,Open-Meteo Historical API,5,2986.8571428571427,-35.85714285714266,2951,11.8,Canal St & Adams St,Spring
115,2024-04-25,3016,12.7,3.1,7.5,0.0,5.4,53,Open-Meteo Historical API,4,3015.5714285714284,0.4285714285715585,3016,7.5,Clinton St & Madison St,Spring
13,2024-01-14,1345,6.0,-3.3,0.3,0.9,11.0,49,Open-Meteo Historical API,1,1551.2857142857142,-206.28571428571425,1345,0.3,Theater on the Lake,Winter
56,2024-02-26,2094,10.5,-2.0,3.3,0.4,4.1,76,Open-Meteo Historical API,2,1903.7142857142856,190.28571428571425,2094,3.3,Navy Pier,Winter
